"","v1_value","v2_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","n","v1","v2","restriction"
"130",NA,"1",0.877862595419847,73.3755274261603,8312.25490196078,0.0726355346962851,262,"judge_is_woman","case_is_not_oslo",""
"131","0","40 - 55",0.846453624318005,101.410052910053,10837.2257053292,0.0573274194775159,1283,"judge_some_foreign_background","defendant_age_groups",""
"132","0","< 40",0.838800705467372,88.5212,6659.35757271814,0.0623592577661665,2835,"judge_some_foreign_background","defendant_age_groups",""
"133","0","> 55",0.822085889570552,83.7494033412889,11739.8280802292,0.0566391587926194,489,"judge_some_foreign_background","defendant_age_groups",""
"134","0",NA,0.82716049382716,93.4583333333333,10172.7272727273,0.0541016285371148,81,"judge_some_foreign_background","defendant_age_groups",""
"135","1","40 - 55",0.836363636363636,85.9791666666667,16988.0952380952,0.0492508940335027,55,"judge_some_foreign_background","defendant_age_groups",""
"136","1","< 40",0.872549019607843,49.8936170212766,9165.58441558442,0.029998674830882,102,"judge_some_foreign_background","defendant_age_groups",""
"137","1","> 55",0.823529411764706,56.5333333333333,12272.7272727273,0.096917808219178,17,"judge_some_foreign_background","defendant_age_groups",""
"138","1",NA,1,23.4,2500,0.0424657534246575,5,"judge_some_foreign_background","defendant_age_groups",""
"139",NA,"40 - 55",0.858407079646018,43.69,11191.9540229885,0.0603616136604674,113,"judge_some_foreign_background","defendant_age_groups",""
"140",NA,"< 40",0.878172588832487,72.9943820224719,6600.34013605442,0.053447123816064,197,"judge_some_foreign_background","defendant_age_groups",""
"141",NA,"> 55",0.883720930232558,88.1794871794872,9588.23529411765,0.0800473201604827,43,"judge_some_foreign_background","defendant_age_groups",""
"142",NA,NA,0.75,113.25,2500,0.493150684931506,4,"judge_some_foreign_background","defendant_age_groups",""
"143","0","0",0.841406250000001,96.1259958689878,8513.44772891128,0.0627985542151459,3840,"judge_some_foreign_background","defendant_is_woman",""
"144","0","1",0.822115384615384,62.4553903345725,7497.39952718676,0.0417588272115803,624,"judge_some_foreign_background","defendant_is_woman",""
